Offering ID,Registration Bus Id,DimScopeDwKey,Date,Course Code,Course Title (en),Offering Delivery Type (en),Offering Language,Confirmed Registrations,Registration Status (en),Organization (en),Job Classification (group)
127863,regdw000000004665255,2,2020-09-13 0:00:00,I623,Embracing the Cloud for Business Efficiency (I623),Online - Self-paced,English/Anglais,0,Confirmed,Royal Canadian Mounted Police (PS employees),CS
127864,regdw000000004652062,2,2020-09-04 0:00:00,I623,Embracing the Cloud for Business Efficiency (I623),Online - Self-paced,French/Français,0,Confirmed,Canada School of Public Service,AS
127864,regdw000000004660615,2,2020-09-10 0:00:00,I623,Embracing the Cloud for Business Efficiency (I623),Online - Self-paced,French/Français,0,Confirmed,Canadian Forces (military personnel),MAJOR
127867,regdw000000004631253,2,2020-08-30 0:00:00,I636,Enabling Business-IT Collaboration and Strategic Alignment (I636),Online - Self-paced,English/Anglais,0,Confirmed,Public Safety Canada,EX
127867,regdw000000004661137,2,2020-09-10 0:00:00,I636,Enabling Business-IT Collaboration and Strategic Alignment (I636),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AU
127868,regdw000000004667852,2,2020-09-14 0:00:00,I636,Enabling Business-IT Collaboration and Strategic Alignment (I636),Online - Self-paced,French/Français,0,Confirmed,Employment and Social Development Canada,CR
127869,regdw000000004651952,2,2020-09-04 0:00:00,I607,Exploring Customer Journey Mapping (I607),Online - Self-paced,English/Anglais,0,Confirmed,Canada School of Public Service,AS
127869,regdw000000004666383,2,2020-09-14 0:00:00,I607,Exploring Customer Journey Mapping (I607),Online - Self-paced,English/Anglais,0,Confirmed,Veterans Affairs Canada,CR
127869,regdw000000004667840,2,2020-09-14 0:00:00,I607,Exploring Customer Journey Mapping (I607),Online - Self-paced,English/Anglais,0,Confirmed,Employment and Social Development Canada,PM
127870,regdw000000004654386,2,2020-09-08 0:00:00,I607,Exploring Customer Journey Mapping (I607),Online - Self-paced,French/Français,0,Confirmed,Unknown,Unknown
127870,regdw000000004656809,2,2020-09-09 0:00:00,I607,Exploring Customer Journey Mapping (I607),Online - Self-paced,French/Français,0,Confirmed,Unknown,AS
127871,regdw000000004661072,2,2020-09-10 0:00:00,I519,Exploring Data Visualization (I519),Online - Self-paced,English/Anglais,0,Confirmed,Shared Services Canada,CS
127871,regdw000000004665714,2,2020-09-14 0:00:00,I519,Exploring Data Visualization (I519),Online - Self-paced,English/Anglais,0,Confirmed,Veterans Affairs Canada,CR
127871,regdw000000004674229,2,2020-09-16 0:00:00,I519,Exploring Data Visualization (I519),Online - Self-paced,English/Anglais,0,Confirmed,Employment and Social Development Canada,PM
127873,regdw000000004661683,2,2020-09-10 0:00:00,I609,Exploring the Relationship between UI/UX Design (I609),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AU
128010,regdw000000004664725,2,2020-09-11 0:00:00,I630,Getting Started with Machine Learning (I630),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AS
128023,regdw000000004658602,2,2020-09-09 0:00:00,I630,Getting Started with Machine Learning (I630),Online - Self-paced,French/Français,0,Confirmed,Employment and Social Development Canada,FI
128027,regdw000000004662417,2,2020-09-11 0:00:00,I522,Harnessing the Power of Data Science for Business Growth (I522),Online - Self-paced,English/Anglais,0,Confirmed,Canada School of Public Service,EC
128028,regdw000000004658170,2,2020-09-09 0:00:00,I522,Harnessing the Power of Data Science for Business Growth (I522),Online - Self-paced,French/Français,0,Confirmed,Translation Bureau,AS
128029,regdw000000004658841,2,2020-09-09 0:00:00,I612,How Blockchain Technology is Transforming Businesses (I612),Online - Self-paced,English/Anglais,0,Confirmed,Veterans Affairs Canada,CR
128063,regdw000000004652927,2,2020-09-07 0:00:00,I514,Making Data-driven Decisions (I514),Online - Self-paced,English/Anglais,0,Confirmed,Global Affairs Canada,Level
128063,regdw000000004654378,2,2020-09-08 0:00:00,I514,Making Data-driven Decisions (I514),Online - Self-paced,English/Anglais,0,Confirmed,Unknown,Unknown
128063,regdw000000004656822,2,2020-09-09 0:00:00,I514,Making Data-driven Decisions (I514),Online - Self-paced,English/Anglais,0,Cancelled,Unknown,AS
128063,regdw000000004657990,2,2020-09-09 0:00:00,I514,Making Data-driven Decisions (I514),Online - Self-paced,English/Anglais,0,Confirmed,Canada Revenue Agency,AU
